"","State managed","IMSS","ISSSTE","Private healthcare provider","SEDENA/SEMAR/PEMEX","SSA","Missing data"
"n"," 8,462","237,913","37,652","17,121","20,580","139,164","   "
"Time from symptoms to hospitalization (median [IQR])","  3.10 [2.10, 7.10]","   5.10 [2.10, 8.10]","  5.10 [3.10, 7.10]","  6.10 [3.10, 9.10]","  4.10 [2.10, 7.10]","   5.10 [3.10, 7.10]","0.0"
"Time from hospitalization to death (median [IQR])","154.10 [12.10, 316.10]","  21.10 [6.10, 214.10]","107.10 [8.10, 267.10]","197.10 [60.10, 322.10]","170.10 [17.10, 310.10]"," 120.10 [8.10, 288.10]","0.0"
"Diabetes = NO (%)","  5765 (68.3) "," 159325 (67.0) "," 23685 (63.5) "," 12621 (74.8) "," 14938 (73.0) ","  94834 (68.6) ","0.4"
"COPD = NO (%)","  8218 (97.3) "," 228676 (96.2) "," 35914 (96.3) "," 16521 (97.7) "," 20052 (98.0) "," 134050 (96.8) ","0.4"
"Obesity = NO (%)","  6698 (79.3) "," 190904 (80.3) "," 30346 (81.3) "," 14034 (83.0) "," 15120 (73.8) "," 105608 (76.3) ","0.3"
"Hypertension = NO (%)","  5354 (63.4) "," 140079 (58.9) "," 21399 (57.4) "," 11497 (68.1) "," 14119 (69.0) ","  91925 (66.4) ","0.4"
"Female = NO (%)","  5005 (59.1) "," 140865 (59.2) "," 21729 (57.7) "," 11385 (66.5) "," 12707 (61.7) ","  82163 (59.0) ","0.0"
"Chronic Kidney = NO (%)","  8040 (95.2) "," 222392 (93.6) "," 35073 (94.0) "," 16336 (96.7) "," 19899 (97.2) "," 133700 (96.6) ","0.4"
"Age = NO (%)"," 57.00 [46.00, 68.00]","  60.00 [49.00, 70.00]"," 62.00 [51.00, 72.00]"," 56.00 [45.00, 68.00]"," 59.00 [47.00, 70.00]","  57.00 [45.00, 67.00]","0.1"
"Asthma = NO (%)","  8268 (97.9) "," 233016 (98.1) "," 36561 (97.9) "," 16593 (98.2) "," 20128 (98.3) "," 135523 (97.9) ","0.4"
"Immunosuppression = NO (%)","  8280 (98.1) "," 232306 (97.8) "," 36541 (98.0) "," 16543 (97.9) "," 20223 (98.8) "," 135858 (98.1) ","0.4"
